"school","color","alt_color","logo"
"UT San Antonio","#002A5C","#f47321","http://a.espncdn.com/i/teamlogos/ncaa/500/2636.png"
"Vanderbilt","gray","#231f20","http://a.espncdn.com/i/teamlogos/ncaa/500/238.png"
"Virginia","#f84c1e","#ffffff","http://a.espncdn.com/i/teamlogos/ncaa/500/258.png"
"Virginia Tech","#74232D","#c2c1ba","http://a.espncdn.com/i/teamlogos/ncaa/500/259.png"
"Wake Forest","#9E7E38","#000000","http://a.espncdn.com/i/teamlogos/ncaa/500/154.png"
"Washington","#2B2F64","#e8e3d3","http://a.espncdn.com/i/teamlogos/ncaa/500/264.png"
"Washington State","#6a747c","#94022a","http://a.espncdn.com/i/teamlogos/ncaa/500/265.png"
"Western Kentucky","#F32026","#b3b5b8","http://a.espncdn.com/i/teamlogos/ncaa/500/98.png"
"Western Michigan","#532e1f","#8b7f79","http://a.espncdn.com/i/teamlogos/ncaa/500/2711.png"
"West Virginia","#FFC600","darkblue","http://a.espncdn.com/i/teamlogos/ncaa/500/277.png"
"Wisconsin","#A00001","#f7f7f7","http://a.espncdn.com/i/teamlogos/ncaa/500/275.png"
"Wyoming","#533B22","#ffffff","http://a.espncdn.com/i/teamlogos/ncaa/500/2751.png"
